Funcloc,Alamat1,Alamat2,Alamat3,Alamat4,SiteName
100000000033,"Jl. Kh. Abdullah Sh Tr 1 Rw 1,",Curahdami,Kec. Curahdami,BONDOWOSO,"Mendoza, Evans and Munoz"
100000000035,"Jl Raya Sanggau Ledo, Dusun Jelatang",Jesape,Ledo,BENGKAYANG,Evans Group
100000000036,Jl. Merpati,Desa Uso,Kec. Batui,MOROWALI,"Green, Smith and Gordon"
100000000037,Jl.Dempo Raya,Ratu Agung,Ratu Agung,"BENGKULU, KOTA",Clark LLC
100000000041,"DusunÂ Solima,","Desa Teloko,","Kc.Â Â Sanggar,Â ",BIMA,Reed-Stark
100000000042,"Dsn. Soroafu,","Ds. Waduruka,",Kec. Langkudu,BIMA,Ray Group
100000000043,Bitung Barat II,Kolombo,Kolombo,"BITUNG, KOTA",Dominguez-Newman
100000000044,Bumi Permata Hijau,Bumi Permata Hijau,Banjarbaru,"BANJARBARU, KOTA",Patterson-Galloway
100000000045,Jl. A Yani Km 51 Rt 002,Ds Pasar Jati,Kec Astabul,"BANJARBARU, KOTA",Vasquez-Dixon
100000000049,Jl. Haji Usman,Desa Kubang Jaya,Kec. Siak Hulu,KAMPAR,Allen and Sons
100000000050,"Dusun Banjar Baru, Rt.03/Rw.01",Gunung Mulia,Gunung Sahilan,KAMPAR,Johnson-Owens
100000000051,Dusun Mualimmin Rt 002 Rw 003,Teluk Paman,Kampar kiri,KAMPAR,Koch LLC
100000000052,Jl. Depati Muncak Rt 10/ Rw 05,Kel. Muara Madras,Kec. Jangkat,MERANGIN,Murphy-Moreno
100000000053,Desa Telun,Desa Telun,Nalo Tantang,MERANGIN,Norton-Bradford
100000000054,Dusun Sidomulyo Rt.04/02,Kel. Bukit Bungkul,Kec. Ranah Pemenang,MERANGIN,Clark-Hawkins
100000000055,Jl. Garuda Rt.11/06,Kel. Gading Jaya,Kec. Tabir Selatan,MERANGIN,Johnson PLC
100000000057,Kp Pondok Benda RT 07 RW 03,Kel Jatirasa,Kec Jatiasih,"BEKASI, KOTA","Johnson, Hood and Evans"
100000000058,Pulo Permata Sari Blok A1 No 21 Rt 01/19,Kel.Pekayon Jaya,Bekasi Selatan,"BEKASI, KOTA",Vazquez Group
100000000059,Jln. Raya Narogong Kp. Rawa Panjang,Kel. Sepanjang Jaya,Kec. Rawa Lumbu,"BEKASI, KOTA",Dawson and Sons
100000000061,Jl. Duta Lestari Rt.02 Rw.11,Kel Duta Harapan,Bekasi Utara,"BEKASI, KOTA",Ford-Myers
100000000062,Jl. Kh.Mseman Rt01/01,Bekasi,Bekasi,"BEKASI, KOTA",Mills Ltd
100000000073,"Desa Sendang Rejo,",Kel. Sendang Rejo.,Kec. Bogorejo,BLORA,"Cuevas, Garrett and Duran"
100000000074,Dusun Matio,Desa Parsoburan Barat,Kecamatan Habinsaran,TOBA SAMOSIR,"Vazquez, Ruiz and Miller"
100000000075,Desa Gattareng,Gattareng,Gattareng,BULUKUMBA,Rush-Hicks
100000000076,Sk Plantation Jl Kodeko Km 60,Mentewe,Batu Licin,TANAH BUMBU,"Thomas, Martin and Perry"
100000000077,"Balai Raja Duri, Rt 01 Rw 02,",Desa Smunai,Duri,BENGKALIS,"Graves, Smith and Avery"
100000000080,Dusun Buntu,Desa Upah,Kecamatan Bendahara,ACEH TAMIANG,"Perez, Carroll and English"
100000000081,"Desa Meunasah Tutong,","Desa Meunasah Tutong,",Kecamatan Jaya,"BANDA ACEH, KOTA",Cannon Ltd
100000000083,Dusun 18,Desa Mekar Sawit,Kec.Sawit Sebrang,LANGKAT,Jones PLC
100000000084,Jalan Rindu Lk. III,Kelurahan Jati Utomo,Binjai Utara,"BINJAI, KOTA",Jones-Holland
100000000087,Jalan Tapak Tuan â€“ Blang Pidie,Desa Kaye Aceh,Lembah Sabil,ACEH BARAT DAYA,Cole Inc
100000000088,Jl. Barito No. 318 Rt.91 Gpa,Kel. Gunung Bahagia,Balikpapan Selatan,"BALIKPAPAN, KOTA","Hernandez, Grimes and Prince"
100000000092,"Jl. Mekarsari Atas,",Tanjung Uban,Tanjung Uban,BINTAN,Morgan Inc
100000000095,Jl. Sengon Rt/Rw. 08/02 Kompl Industri),Desa Sengon,Kec. Subah,BATANG,"Clark, Boyer and Hoffman"
100000000098,Masjid Baitul Dawah,Kelurahan Baloi Permai,Kecamatan Batam Kota,"BATAM, KOTA",Coleman Group
100000000100,Jl. CLT Kel. Batu Besar Kec. Nongsa,Kel. Batu Besar,Kec. Nongsa,"BATAM, KOTA",Sheppard-Poole
100000000101,Perum. Griya Permata Blok C RT09/03,Kel. Sungai Langkai,Kec. Sagulung,"BATAM, KOTA","Walker, Roberts and Macias"
100000000102,Jl. Teluk Bakau,Kel. Pulau Terong,Kec Blakang Padang,"BATAM, KOTA",May-Herrera
100000000103,"Dsn.Kedung,","Ds. Giripurno,","Kec. Bumi Aji,","BATU, KOTA",Mcdonald-Carter
100000000105,Ds. Kedung Ringin,Ds. Kedung Ringin,Kec. Muncar,BANYUWANGI,Gould Group
100000000106,Perempatan Karetan Rt 5 Rw 2,Karetan,Purwoharjo,BANYUWANGI,"Salas, Williams and Figueroa"
100000000108,Jl. Ikan Tombro 29 Rt. 02 Rw. 01,Banyuwangi,Kec. Banyuwangi,BANYUWANGI,Allison-Jackson
100000000109,Lingk.Tirtopuro Rt/Rw 001/001,Kel.Kalipuro,Kec.Kalipuro,BANYUWANGI,Roberts Ltd
100000000111,Rt 27 Rw 03 Desa Kedung Gebang,Desa Kedung Gebang,Kec. Tegal Dlimo,BANYUWANGI,Kim-Reed
100000000113,Rt 01 Rw 09 Desa Tapanrejo,Desa Tapanrejo,Kec. Muncar,BANYUWANGI,"Knox, Landry and Miller"
100000000114,Jl.Jajag Surat Rt.02 Rw.02,Desa Karangbendo,Kec.Rogojampi,BANYUWANGI,Long-Peterson
100000000115,Rt. 09 Rw. 05,Desa Sukajadi,Kec. Cariu,BOGOR,Villa and Sons
100000000116,No 5 Jl.Kota Wiasata Blok N-8,Kel Ciangsana,Kec Gunung Putri,BOGOR,"Murphy, Thompson and Kaufman"
100000000118,"Kp. Nyongkokot, Rt.02 / Rw.05",Kel. Gunung Sari,Kec. Citeureup,BOGOR,Cooper Group
100000000120,"Rt 01/Rw 02, Gn. Bundar Satu.",Kp. Babakan,Kec. Pamijahan,BOGOR,Lozano-Rodriguez
100000000121,Jl Desa Wangun Jaya Rt 01 Rw 04,Desa Wangunjaya,Kecamatan Leuwiliang,BOGOR,Lyons and Sons
100000000123,Jl. Hidup Baru Rt 09 Rw 02,Kel. Sarua Lama,Tangerang,TANGERANG,Wells and Sons
100000000124,Kp.Petir RT.06/07 Desa Purwasari,Ds. Purwasari,Kec. Dramaga,BOGOR,"Johnson, Atkinson and Phillips"
100000000125,Kec Bojong Gede,Poncol,Kec Bojong Gede,BOGOR,"Fletcher, Smith and York"
100000000126,Jl. Raya Bogor Kp. Bedahan Rt.01/01,Kel. Pabuaran Cibinong,Bogor,BOGOR,"Duran, Summers and Johnson"
100000000128,"Jl. Raya Jasinga, Kp. Jenggi,","Desa Bagoang,",Kec. Tarisi,BOGOR,Wagner PLC
100000000129,Jl.Raya Cigudeg Bogor,Cigudeg,Cigudeg,BOGOR,Braun-Simmons
100000000135,Kampung Rawa Bogo Rt. 01 Rw 09,Desa Gunung Sari,Kec. Pemijahan Bogor,BOGOR,Martin Ltd
100000000139,Jl. Masjid Rt.01 Rw 07 Desa Mekar Wangi,Kel.Mekar Wangi,Kec. Tanah Sereal,BOGOR,"Brown, Nelson and Macias"
100000000152,Kp. Kbn Pala Rt 02 Rw 06,Sukamaju,Cibeber,CIANJUR,Bond-Parks
100000000154,"Jl. Mariwati Km-8 Cihurang,","Ds. Cikanyere,",Kec. Sukaresmi,CIANJUR,Harrison-Taylor
100000000156,Jl.Simatupang Kp.Pupunjul,Ds.Kertajaya Ciranjang,Calincing,CIANJUR,"Martinez, Martin and Rodgers"
100000000159,Masjid As Solihin Rt.05/01,Balekambang,Kec. Kramat Jati,"JAKARTA TIMUR, KOTA",Mccoy-Olson
100000000160,Jl. Raya Gabus Gedong,Ds. Srimukti,Kec. Tambun Utara,BEKASI,Cervantes and Sons
100000000161,Kp. Pule Poncol Rt.02 Rw.01,Kel. Karang Anyar,Kec. Karang Bahagia,BEKASI,Cook Inc
100000000163,Kp. Pd Dua Rt 008/Rw 001,Ds. Pantai Hurip Jaya,Kec. Babelan,BEKASI,Knight-Luna
100000000164,Jl. Perum Villa Permata,Ds. Jogalan Jaya,Kec. Tambun Utara,BEKASI,Conway Inc
100000000166,"Kampung Singkil Rt 15 Rw 08,",Desa Pantai Mekar,Kec. Muara Gembong,BEKASI,Young-Wood
100000000168,Kp. Balang Sambi Rt 011/Rw 003,Ds. Sukabakti,Kec.Tembelang,BEKASI,Hamilton-Martinez
100000000170,Jl. Kp. Tegal Sapi Rt 01/Rw 01,Tegal Sapi,"Naga Cipta,",BEKASI,Jensen-Miller
100000000179,Jl.Raya Setu ( Desa Cigebang ).,Kp.Tunggong Londok,Bekasi,BEKASI,Clark-Leblanc
100000000180,"Jln.Pasir Gombong,",Desa Nagasari,Nagasari,BEKASI,"Garner, Vincent and Butler"
100000000182,"Majasari, Kec. Sobang, Kabupaten Lebak",Majasari,Sobang,Lebak,Espinoza-Gonzalez
100000000196,Jln. Sutomo Rt.02/Rw.04,Kel. Gunung Simping,Kec. Cilacap Tengah,CILACAP,"Williams, Thomas and Rodgers"
100000000197,"No. 4 Jln. Lingkar Timur Rt. 06, Rw. 05",Desa Karangkandri,Kec. Kesugihan,CILACAP,Roberts Group
100000000200,Jl Lagadar Raya Kp Cipatat,Ds Lagadar,Kec Marga Asih,"CIMAHI, KOTA","Parker, Franklin and Clark"
100000000201,Dusun Wanarasa Rt005/01,Desa Kalijaya,Kecamatan Banjarsari,CIAMIS,Bishop-Butler
100000000204,Banjarsari Cikuman,Dusun Sukamaju,Banjarsari Cikuman,CIAMIS,"Perez, Hooper and Flynn"
100000000205,Dusun Urug,Desa Pusakasari,Kec. Cipaku,CIAMIS,Foster LLC
100000000206,Jl. Poros Palu Donggala Rt.1 Dusun 1,Desa Loli Tasiburi,Kec. Banawa,DONGGALA,Martin Inc
100000000207,Jl. Tolambu,Kel. Donggala Kodi,Kec. Palu Barat,"PALU, KOTA",Rivera-Smith
100000000208,Desa Pandumaan,Desa Pandumaan,Kecamatan Pollung,HUMBANG HASUNDUTAN,Owen PLC
100000000209,Jl. Pasir Putij Rt 01 Rw 01,"Kel. Pasir Putih,",Kec. Sawangan,"DEPOK, KOTA",Butler and Sons
100000000213,Jl. Usman Dehir Rt 001/01,Limo,Kec. Limo,"DEPOK, KOTA","Norman, Bennett and Ford"
100000000218,Jl. KH. M. Usman No. 4 Rt. 05/02,Kel. Kukusan,Kec. Beji,"DEPOK, KOTA",Neal and Sons
100000000224,"Jl. Raya Dompu-Kilo, Ds. Muhajirin,","Ds. Nusajaya,",Kec. Manggalewa,DOMPU,Edwards-Martin
100000000225,"Jl. Jaya Mahe,","Ds. Ranggo,",Kec. Pajo,DOMPU,"Jennings, Cardenas and Combs"
100000000226,Pasar Selasa Kadindi Atas,Pasar Selasa,Kc.Pekat,DOMPU,King-Bowers
100000000227,"Jl. Lintas Caelabai, Dsn Kesi Rt04 Rw02",Desa Tolokalo,Kec.Kempo,DOMPU,"Proctor, Thompson and Mullen"
100000000228,Dusun Napa Rt.04 Rw.01,"Desa Nanggatumpu,",Kec.Manggalewa,DOMPU,Kelly Group
100000000229,Jl. Lahan,Desa Kobisonta,Kec Seram Utara,SERAM BAGIAN BARAT,Bailey-Bates
100000000230,Jl. Wailola,Desa. Bula,Kec. Bula,SERAM BAGIAN TIMUR,Taylor-Small
100000000232,"Jl. Poros Raya Toraja,","Dusun Waibut,",Enrekang,ENREKANG,Oconnell-Lopez
100000000233,"Jl. Tri Rahayu, Rt02/Rk02",Ds.Tri Rahayu,Kec. Negri Katon,PESAWARAN,Chapman Inc
100000000235,Jl. Denpasar Kintamani Banjar Sebatu,Desa Sebatu Tegalalang,Kintamani,GIANYAR,Calhoun-Morrison
100000000237,"Lap Sepak Bola Laba Buana, Jl Raya Celuk",Sukawati,Kec. Sukawati,GIANYAR,Noble Ltd
100000000238,"Jl. Raya Tegalalang, Banjar Pujung Kaja","Desa. Sebatu,","Kec. Tegalalang,",GIANYAR,Rush and Sons
100000000239,"Br. Penaka,","Ds. Tampak Siring,",Kec. Gianyar,GIANYAR,Vaughan Ltd
100000000240,"Jl. Br Kutuh,","Desa Sayan,",Kec. Ubud,GIANYAR,Shah-Hodges
100000000241,"Br. Ubud Belasung,","Desa Pejeng Kaja,",KecTampak Siring,GIANYAR,Anderson Ltd
100000000242,Ds.Srimulyo Rt 02 Rw 07,Ds.Srimulyo,Kec.Anak Ratu Aji,LAMPUNG TENGAH,"Black, Little and Patel"
100000000243,"Dusun II Jaya Sakti, Rt.012/Rw.002",Desa Rejo Asri,Kec. Seputih Rahman,LAMPUNG TENGAH,Rose PLC
100000000244,Ds Nyukang Harjo Rt. 02/ Rw.01,Ds Nyukang Harjo,Kecamatan Selagai Lingga,LAMPUNG TENGAH,Lozano-Jackson
100000000245,Jl. Sabah Lobu,Desa Batu Mamak,Batang Onang,PADANG LAWAS UTARA,Soto-Smith
100000000248,"Jln. Krakatau, Rt.01, Dsn. Midang,","Ds. Midang,",Kc. Gunung Sari,LOMBOK BARAT,Dunn LLC
100000000250,"Jl. Narmada Sasaot,","Ds. Suranadi,",Kec. Narmada,LOMBOK BARAT,Clark-Marquez
100000000253,Dsn. Karang Pande Rt. 05,"Ds. Banyumulek,","Kc. Kediri,",LOMBOK BARAT,Barrera PLC
100000000254,Jl Raya Bungbulang Rt02/02,Kp Cisandaan,Garut,GARUT,Collins LLC
100000000255,Jl Raya Bungbulang Rt01/08,Ds Warga Mulya,Kec Cikajang Garut,GARUT,"Gonzalez, Harris and Bailey"
100000000257,Desa Imaan,Desa Imaan,Kec Dukun,GRESIK,Johnson-Lamb
100000000258,Jl. Raya Hulaan Rt.17/07,Ds. Sido Jangkung,Kec. Menganti,GRESIK,"Thomas, Brown and Gutierrez"
100000000260,Jl.Gamma Maspion (Kawasan Industri),Kel.Sukomulyo,Kec.Manyar,GRESIK,Rose-Glover
100000000261,Jl.Madumulyorejo Rt.02 Rw.01,Kel.Madumulyorejo,Kec.Dukun,GRESIK,"Lawrence, Mcmillan and Allen"
100000000262,Gunung Sitoli SelatanKab Gunung Sitoli,desa fodo,gunung sitoli selatan,"Gunungsitoli, Kota","Wright, Brown and Bryant"
100000000263,Desa Sinariki,Kel. Desa Sinarki,Kec.Hiliduho,NIAS,Klein Inc
100000000264,Dusun 1,Desa Hiliganoita,Kecamatan Bawolato,NIAS,"Clark, Parker and Peterson"
100000000265,Dusun 3,Sindrondro,Kecamatan Bawolato,NIAS,Chavez-Chandler
100000000266,Jl. Beronjong RT. 04/RW. 02,Desa Tanjung Pinang II,Kec. Tanjung Batu,OGAN ILIR,Stevens-Johnson
100000000270,Tortoran Persil 00016,Ds.Tortoran,Kec.Sindang,INDRAMAYU,Williams and Sons
100000000272,"Jl. Cikadu, Muaracikadu, Kec. Sindangbar",Muaracikadu,Sindangbarang,Cianjur,Lee and Sons
100000000274,Blok Cipaat Rt 003/Rw 01,Ds.Cipaat,Kec.Bongas,INDRAMAYU,"Cooper, Woods and Reynolds"
100000000275,Desa Kedungdawa,Desa Kedungdawa,Kec. Gabus Wetan,INDRAMAYU,Gray-Sherman
100000000276,Jl. Pantai Song Rt02 Rw11,Ds. Karangsong,Kec. Indramayu,INDRAMAYU,"Howe, Collins and Collins"
100000000277,Blok Parut Kidul Kp. Wanguk Rt 10 Rw 02,Ds. Wanguk,Kec. Anjatan,INDRAMAYU,Jones LLC
100000000285,Kampung Skouw Mabo,Kampung Skouw Mabo,Distrik Muara Tami,JAYAPURA,Watson-Miller
100000000286,Dk.Sumberbeji Rt.01/01,Ds.Kesamben,Kec.Ngoro,JOMBANG,Williams Group
100000000288,Jl.Ahmad Hasan - Tanjung Lumut Rt.22,Kel.Talang Bakung,Kec.Jambi Selatan,"JAMBI, KOTA",Martin Ltd
100000000289,Jl. Sunan Giri,Kel. Simpang3 Sipin,Kec. Kota Baru,"JAMBI, KOTA",Johnson Ltd
100000000291,Jl. Abdul Muis Rt. 015,Kel. Lingkar Selatan,Kec. Jambi Selatan,"JAMBI, KOTA","King, Deleon and Riley"
100000000293,Desa Andongsari Rt03/Rw05,Desa Andongsari,Kec. Ambulu,JEMBER,Kelly-Stewart
100000000294,Dukuh Mencek Rt03/Rw03,Desa Serut,Kec. Panti,JEMBER,"Medina, Watson and Taylor"
100000000295,Ds. Jombang Rt01/Rw022,Ds. Jombang,Kec. Jombang,JEMBER,Clarke Group
100000000296,Dusun Mallasoro,Desa Mallasoro,Kec.Bangkala,JENEPONTO,Briggs Ltd
100000000297,Dusun Pallengu,Desa Arungkeke,Kec.Arungkeke,JENEPONTO,Figueroa-Johnson
100000000298,Lingkungan Dusun Salekoa,Kel.Bangkala,Kec.Pallatikang,JENEPONTO,"Mata, Merritt and Mcdonald"
100000000299,Jl. Hv Worang,Kelurahan Pabiringa,Kec. Binamu,JENEPONTO,Russell-Haney
100000000305,Jl. Lintas Timur Dusun V,Desa Tugu Agung,Kec. Lempuing,OGAN KOMERING ILIR,Parker Group
100000000306,Jl. Lintas Tengah Sumatera,Desa Sri Menanti,Kec. Muara Luang,OGAN KOMERING ILIR,White-Schmitt
100000000307,Dusun Iv Rt 01/02,Desa Rantau Durian Ii,Kec. Lempuing Jaya,OGAN KOMERING ILIR,"Greer, Jones and White"
100000000308,"Dusun Ii, Rt.01",Desa Bina Karsa,Kec. Mesuji Makmur,OGAN KOMERING ILIR,Sanchez Ltd
100000000309,Dusun 1 Serigeni,Desa Serigeni,Kec. Kayu Agung,OGAN KOMERING ILIR,Hinton-Lambert
100000000310,"Desa Cahaya Mas, Kampung Iv",Desa Cahaya Mas,Kec. Mesuji Makmur,OGAN KOMERING ILIR,Keller and Sons
100000000311,Desa Tiganderket,Desa Tiganderket,Tiganderket,KARO,Collins-Wells
100000000312,Desa Lingg Julu,Desa Lingg Julu,Kec Simpang Empat,KARO,Jimenez Group
100000000313,Desa Tanjung Belang,Desa Tanjung Belang,Tiganderket,KARO,Christensen-Smith
100000000314,"Desa Patuk Gawe Mulyo, Rt.02 Rw.03",Krajan,Kec. Mirit,KEBUMEN,"Mills, Horton and Clark"
100000000316,Jl. Cr G32/33 Rt 18,Desa Manunggal Lama,Sungai Durian,KOTABARU,"Yang, Martinez and Morgan"
100000000317,"Jl. Lintas Raya, Rt.Iii",Ds. Hampang,Kec. Hampang,KOTABARU,"Booker, Bridges and Murphy"
100000000318,"Jl.H.Umar Rt.01 Rw.02,",Kel.Punggaluku,Kendari,"KENDARI, KOTA",Decker Inc
100000000319,Jl Poros Mawasangka,Ds Kenapanapa,Mawasangka,BUTON,"Miller, Lopez and Rogers"
100000000320,Dsn. Matanauwe,Ds. Matanauwe,Kec. Siotapina,BUTON,Wong-Davis
100000000321,Jl. Mawaambe,Kel. Lipu,Kec. Betoambari,"BAU BAU, KOTA",Robinson-Hess
100000000322,Ds Kombikuno,Ds Kombikuno,Kec Napanokusambi,MUNA,Evans Group
100000000323,Desa Padang Mekar,Desa Padang Mekar,Kec. Abuki,KONAWE,Hess Ltd
100000000325,Dk.Krajan Iii Rt.05/03,Ds.Sojomerto,Kc.Gemuh,KENDAL,"Suarez, Cole and Stanley"
100000000326,Dkh.Pojoksari Rt.01/01,Ds.Pojoksari,Kec.Rowosari,KENDAL,Gross Ltd
100000000328,Jl. Tempurejo Ii Rt 21 Rw 06,Kel.Tempurejo,Kec.Pesantren,"KEDIRI, KOTA",Mcdaniel-Little
100000000329,Jl. Bunga Gg.5 Rt.016 Rw.003,Kel.Ngampel,Kec.Mojoroto,"KEDIRI, KOTA",Doyle PLC
100000000331,Jl. Ry Ploso Rt/Rw 01/01,Ds Ploso,Kec. Mojo Kediri,KEDIRI,"Wright, Palmer and Lopez"
100000000334,Ds Gedang Sewu,Ds Gedang Sewu,Kec.Pare,KEDIRI,Mejia-Clark
100000000336,Jl. Ceku Rt 02/Rw 01,Kampung Eci,Distrik Assue,MAPPI,Smith Ltd
100000000337,"Jl. Besar Lintas Asahan,",Kisaran,Kisaran,ASAHAN,Myers PLC
100000000338,Jl. Sembilang Dusun Vii,Sungai Kepayang Tengah,Kec. Sungai Kepayang,ASAHAN,Christian and Sons
100000000339,Dusun IV,Kel. Punggulan,Kec. Air Joman,ASAHAN,Montgomery-Rogers
100000000340,Perutaan Silau,Desa Taman Sari,"Kec, Pulo Bandring",ASAHAN,"Hunt, Osborne and Lynch"
100000000341,Dusun IV,Desa Lobu Jiur,Kecamatan Aek Kuasa,ASAHAN,Callahan and Sons
100000000342,Jl. Kalukuluku,Kodeoha,Kec. Kodeoha,KOLAKA,"Wright, Rodriguez and Gould"
100000000343,Jl. Sari Indah VB RT.07 RW.13,kel. Antapani Kidul,Kec. Cicadas,"BANDUNG, KOTA",Stewart-Hernandez
100000000346,Komp.Rancasabir RT.04 RW.01,Ds.Malakasari,Kec.Baleendah,BANDUNG,Schmidt Group
100000000348,"Jl.Desa Buni Geulis, Kampung Pahing",Desa Buni Geulis,Kec. Hantara,KUNINGAN,"Martin, Randall and Reynolds"
100000000350,Jl Sawo,"Ds Popoh,",Kec Selopuro,BLITAR,Hamilton-Ramsey
100000000351,Resapombo Rt 2 Rw 2,Doko,Kec Doko,BLITAR,Newton Inc
100000000355,Kedungbokor RT 002 RW 001,Genukwatu,Ngoro,JOMBANG,Lutz-Smith
100000000357,Jl. Timor Raya,Kel. Camplong 1,Kec. Fatuleu,KUPANG,"Hanna, Hartman and Alexander"
100000000358,Jalan Raya Timur Km.25 Rt/Rw. 11/09,Kupang Timur,Kec. Kupang Timur,KUPANG,Parsons Group
100000000359,Dusun Condeang Rt.005/ Rw.04,Desa Kalisongo,Dau,MALANG,Holland-Gaines
100000000360,Dsn. Balesari Rt01/Rw04,Ds. Balesari,Kec. Ngajum,MALANG,"Krueger, Griffin and Barnes"
100000000361,Dsn. Krajan Rt01/Rw01,Ds. Gajahrejo,Kec. Gedangan,MALANG,"Martinez, Murray and Richardson"
100000000362,Desa Senggreng RT 07 RW 08,Kel Senggreng,Kec. Sumberpucung,MALANG,Bowers-Torres
100000000363,"Dusun Pengawan,","Desa Sibetan,",Kec. Bebandem,KARANGASEM,Garcia-Cunningham
100000000364,"Dusun Belong,","Desa Ulakan,",Kec. Manggis,KARANGASEM,Jackson-Johnson
100000000365,Jl Aur Jambo Lorong Iv,Kel.Blang Kandis,kec. Bandar Pusaka,ACEH TAMIANG,Mason and Sons
100000000366,Jl Dusun Rahmat,Desa Telaga Muku,Kec. Bendahara,ACEH TAMIANG,Fox-Rios
100000000369,Dusun Blang Sare,Desa Seunebok Cina,"Kec, Indra Makmur",ACEH TIMUR,Patterson-Graves
100000000371,Ds. Jabung SisirÂ ,Ds. Jabung SisirÂ ,Kec.Paiton,PROBOLINGGO,Reid-Miller
100000000373,Dusun 1 RT.05/RW.02,Desa Sambirampak Kidul,Kec. Kotaanyar,PROBOLINGGO,Carey-Richards
100000000374,Ds. Sukun Rt 002 Rw 001,Desa Pendil,Kec. Banyuanyar,PROBOLINGGO,Hill-Smith
100000000375,Krajan Rt 10 / 01,Desa Glagah,Kecamatan Pakuniran,PROBOLINGGO,"Villanueva, Cabrera and Rivera"
100000000376,Dsn. Tungguran RT 01 RW 03,Ds. Karangan,Kec. Badegan,PONOROGO,"Johnson, Rogers and Foster"
100000000378,Jl. Wirabuana,Kel. Goga Goman,Kec. Mobagu Barat,"KOTAMOBAGU, KOTA","Cannon, Gonzales and Fernandez"
100000000379,"Jl. Medan - Kutacane,","Kel. Desa Bambel,",Kec. Bambel,ACEH TENGGARA,Dunn Ltd
100000000380,Dusun Melati,Desa Lawe Sigala â€“ Gala,Kec. Lawe Sigala,ACEH TENGGARA,Hull-Richardson
100000000385,Jl. Duren Rt.16/03,"Desa Klari,",Karawang,KARAWANG,Garcia-Williams
100000000386,"Jl. Raya Pisang Sambo, Rt 09/04",Tamiang Penjol,Tamiang Penjol,KARAWANG,"Cain, Williams and Noble"
